Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rhodes, M.G., Castel, A.D.","Memory Predictions Are Influenced by Perceptual Information: Evidence for Metacognitive Illusions",2008,"Journal of Experimental Psychology: General","137","4",,"615","625",,127,10.1037/a0013684,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57349111169&doi=10.1037%2fa0013684&partnerID=40&md5=3cd1f0d3e0da7be3f08093ec8e6af094",Article,Scopus,2-s2.0-57349111169
"Koriat, A., Bjork, R.A.","Illusions of competence in monitoring one's knowledge during study",2005,"Journal of Experimental Psychology: Learning Memory and Cognition","31","2",,"187","194",,123,10.1037/0278-7393.31.2.187,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-15544369944&doi=10.1037%2f0278-7393.31.2.187&partnerID=40&md5=2038d4e17432dd69328c28fd20784633",Article,Scopus,2-s2.0-15544369944
"Metcalfe, J., Kornell, N.","A Region of Proximal Learning model of study time allocation",2005,"Journal of Memory and Language","52","4",,"463","477",,122,10.1016/j.jml.2004.12.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-16344366366&doi=10.1016%2fj.jml.2004.12.001&partnerID=40&md5=7a44e06511cc4b0bfa535147ba927383",Review,Scopus,2-s2.0-16344366366
"Koriat, A., Sheffer, L., Ma'ayan, H.","Comparing objective and subjective learning curves: Judgments of learning exhibit increased underconfidence with practice",2002,"Journal of Experimental Psychology: General","131","2",,"147","162",,121,10.1037//0096-3445.131.2.147,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036617630&doi=10.1037%2f%2f0096-3445.131.2.147&partnerID=40&md5=9207ccd4177dbb6d38ecb7177b641a6f",Article,Scopus,2-s2.0-0036617630
"Greene, J.A., Azevedo, R.","A theoretical review of Winne and Hadwin's model of self-regulated learning: New perspectives and directions",2007,"Review of Educational Research","77","3",,"334","372",,118,10.3102/003465430303953,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548651142&doi=10.3102%2f003465430303953&partnerID=40&md5=0349dadcb3b4f7ce39a375ef72c30656",Article,Scopus,2-s2.0-34548651142
"Metcalfe, J., Finn, B.","Evidence that judgments of learning are causally related to study choice",2008,"Psychonomic Bulletin and Review","15","1",,"174","179",,117,10.3758/PBR.15.1.174,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-46449112781&doi=10.3758%2fPBR.15.1.174&partnerID=40&md5=d6a80b3aeceb3e3b8c8079130fbfc448",Article,Scopus,2-s2.0-46449112781
"Nelson, T.O., Dunlosky, J., Graf, A., Narens, L.","Utilization of metacognitive judgments in the allocation of study during multitrial learning",1994,"Psychological Science","5","4",,"207","213",,109,10.1111/j.1467-9280.1994.tb00502.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965393847&doi=10.1111%2fj.1467-9280.1994.tb00502.x&partnerID=40&md5=a4fcd26c7ed284b21f73f051b7adc67d",Article,Scopus,2-s2.0-84965393847
"Metcalfe, J.","Metacognitive judgments and control of study",2009,"Current Directions in Psychological Science","18","3",,"159","163",,107,10.1111/j.1467-8721.2009.01628.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-68049144800&doi=10.1111%2fj.1467-8721.2009.01628.x&partnerID=40&md5=5218c05718884495721d4473c30e952c",Article,Scopus,2-s2.0-68049144800
"Kelemen, W.L., Frost, P.J., Weaver III, C.A.","Individual differences in metacognition: Evidence against a general metacognitive ability",2000,"Memory and Cognition","28","1",,"92","107",,101,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034005249&partnerID=40&md5=31cb2f9924904047d2f1b603f82589ca",Article,Scopus,2-s2.0-0034005249
"Koriat, A., Ma'ayan, H.","The effects of encoding fluency and retrieval fluency on judgments of learning",2005,"Journal of Memory and Language","52","4",,"478","492",,98,10.1016/j.jml.2005.01.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-16344370404&doi=10.1016%2fj.jml.2005.01.001&partnerID=40&md5=93b1e62b5cece7595b27a42c41f687b6",Article,Scopus,2-s2.0-16344370404
"Hertzog, C., Dunlosky, J., Emanuel Robinson, A., Kidder, D.P.","Encoding Fluency Is a Cue Used for Judgments About Learning",2003,"Journal of Experimental Psychology: Learning Memory and Cognition","29","1",,"22","34",,95,10.1037//0278-7393.29.1.22,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038179550&doi=10.1037%2f%2f0278-7393.29.1.22&partnerID=40&md5=c591d1dae01d436cb0170c02e7ea1b67",Article,Scopus,2-s2.0-0038179550
"Mazzoni, G., Nelson, T.O.","Judgments of Learning Are Affected by the Kind of Encoding in Ways That Cannot Be Attributed to the Level of Recall",1995,"Journal of Experimental Psychology: Learning, Memory, and Cognition","21","5",,"1263","1274",,92,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029364097&partnerID=40&md5=865064f4ef05a45a2c01d9ba93bce0e4",Article,Scopus,2-s2.0-0029364097
"Son, L.K.","Spacing one's study: Evidence for a metacognitive control strategy",2004,"Journal of Experimental Psychology: Learning Memory and Cognition","30","3",,"601","604",,85,10.1037/0278-7393.30.3.601,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442626503&doi=10.1037%2f0278-7393.30.3.601&partnerID=40&md5=efa53e013d6c5bb7f596da8d2e325a99",Article,Scopus,2-s2.0-2442626503
"Greene, J.A., Azevedo, R.","A macro-level analysis of SRL processes and their relations to the acquisition of a sophisticated mental model of a complex system",2009,"Contemporary Educational Psychology","34","1",,"18","29",,81,10.1016/j.cedpsych.2008.05.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56349116630&doi=10.1016%2fj.cedpsych.2008.05.006&partnerID=40&md5=2d997ae70eb2c8172e6c6bfc54d6ce7c",Article,Scopus,2-s2.0-56349116630
"Spellman, B.A., Bjork, R.A.","When Predictions Create Reality: Judgments of Learning May Alter What They Are Intended to Assess",1992,"Psychological Science","3","5",,"315","316",,74,10.1111/j.1467-9280.1992.tb00680.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965454795&doi=10.1111%2fj.1467-9280.1992.tb00680.x&partnerID=40&md5=753630206abd744342f17d2d9d895a6a",Article,Scopus,2-s2.0-84965454795
"Finn, B., Metcalfe, J.","The role of memory for past test in the underconfidence with practice effect",2007,"Journal of Experimental Psychology: Learning Memory and Cognition","33","1",,"238","244",,72,10.1037/0278-7393.33.1.238,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845985595&doi=10.1037%2f0278-7393.33.1.238&partnerID=40&md5=959a642c1cee7ca79e3c750c2bc882e6",Article,Scopus,2-s2.0-33845985595
"Matvey, G., Dunlosky, J., Guttentag, R.","Fluency of retrieval at study affects judgments of learning (JOLs): An analytic or nonanalytic basis for JOLs?",2001,"Memory and Cognition","29","2",,"222","233",,71,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035710652&partnerID=40&md5=6ff840a3ba1e8bbf56fb1fe070df7463",Article,Scopus,2-s2.0-0035710652
"Hertzog, C., Kidder, D.P., Powell-Moman, A., Dunlosky, J.","Aging and monitoring associative learning: Is monitoring accuracy spared or impaired?",2002,"Psychology and Aging","17","2",,"209","225",,70,10.1037/0882-7974.17.2.209,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036260482&doi=10.1037%2f0882-7974.17.2.209&partnerID=40&md5=b3024c9d4d11daeae0fac206909f12f6",Article,Scopus,2-s2.0-0036260482
"Mazzoni, G., Cornoldi, C., Marchitelli, G.","Do memorability ratings affect study-time allocation?",1990,"Memory &amp; Cognition","18","2",,"196","204",,67,10.3758/BF03197095,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025331874&doi=10.3758%2fBF03197095&partnerID=40&md5=ca4df71c94b6bbab313ea68f0929bdcd",Article,Scopus,2-s2.0-0025331874
"Nelson, T.O., Narens, L., Dunlosky, J.","A Revised Methodology for Research on Metamemory: Pre-judgment Recall And Monitoring (PRAM)",2004,"Psychological Methods","9","1",,"53","69",,64,10.1037/1082-989X.9.1.53,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1942507448&doi=10.1037%2f1082-989X.9.1.53&partnerID=40&md5=c9bcf7091f2a556b0abc37313796c8b5",Review,Scopus,2-s2.0-1942507448
"Kornell, N., Son, L.K.","Learners' choices and beliefs about self-testing",2009,"Memory","17","5",,"493","501",,63,10.1080/09658210902832915,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-68349160770&doi=10.1080%2f09658210902832915&partnerID=40&md5=966d16de2abd43f3841a0a3f00b5ae55",Article,Scopus,2-s2.0-68349160770
"Rhodes, M.G., Tauber, S.K.","The Influence of Delaying Judgments of Learning on Metacognitive Accuracy: A Meta-Analytic Review",2011,"Psychological Bulletin","137","1",,"131","148",,59,10.1037/a0021705,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751498925&doi=10.1037%2fa0021705&partnerID=40&md5=6f01249dfdff15ac1dd16215329416cb",Article,Scopus,2-s2.0-78751498925
"Dunlosky, J., Matvey, G.","Empirical Analysis of the Intrinsic-Extrinsic Distinction of Judgments of Learning (JOLs): Effects of Relatedness and Serial Position on JOLs",2001,"Journal of Experimental Psychology: Learning Memory and Cognition","27","5",,"1180","1191",,59,10.1037//0278-7393.27.5.1180,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035458917&doi=10.1037%2f%2f0278-7393.27.5.1180&partnerID=40&md5=9226fbbcd63e7921672681cdd1fbcd59",Article,Scopus,2-s2.0-0035458917
"Kao, Y.-C., Davis, E.S., Gabrieli, J.D.E.","Neural correlates of actual and predicted memory formation",2005,"Nature Neuroscience","8","12",,"1776","1783",,58,10.1038/nn1595,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-28044457918&doi=10.1038%2fnn1595&partnerID=40&md5=953e6dc6cda32900bee9cd157d93174b",Article,Scopus,2-s2.0-28044457918
"Dunlosky, J., Nelson, T.O.","Similarity between the cue for Judgments of Learning (JOL) and the cue for test is not the primary determinant of JOL accuracy",1997,"Journal of Memory and Language","36","1",,"34","49",,58,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030641844&partnerID=40&md5=85e2feb7ba894c07b2268e209382ec94",Article,Scopus,2-s2.0-0030641844
"Koriat, A.","Easy comes, easy goes? The link between learning and remembering and its exploitation in metacognition",2008,"Memory and Cognition","36","2",,"416","428",,57,10.3758/MC.36.2.416,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-44649138174&doi=10.3758%2fMC.36.2.416&partnerID=40&md5=3f324ef9cdd9e062c9274f8af4fc4f20",Article,Scopus,2-s2.0-44649138174
"Koriat, A., Bjork, R.A.","Mending metacognitive illusions: A comparison of mnemonic-based and theory-based procedures",2006,"Journal of Experimental Psychology: Learning Memory and Cognition","32","5",,"1133","1145",,56,10.1037/0278-7393.32.5.1133,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748415467&doi=10.1037%2f0278-7393.32.5.1133&partnerID=40&md5=65205a13852f3f8e91a47cb98b72deb0",Article,Scopus,2-s2.0-33748415467
"Kimball, D.R., Metcalfe, J.","Delaying judgments of learning affects memory, not metamemory",2003,"Memory and Cognition","31","6",,"918","929",,55,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242330761&partnerID=40&md5=2f349a0155e16eabf53c8e04912ffd53",Article,Scopus,2-s2.0-0242330761
"Finn, B.","Framing effects on metacognitive monitoring and control",2008,"Memory and Cognition","36","4",,"813","821",,53,10.3758/MC.36.4.813,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-46449098155&doi=10.3758%2fMC.36.4.813&partnerID=40&md5=f131270f01ffe3ebca9d3e495445bedd",Article,Scopus,2-s2.0-46449098155
"Schneider, W., Visé, M., Lockl, K., Nelson, T.O.","Developmental trends in children's memory monitoring: Evidence from a judgment-of-learning task",2000,"Cognitive Development","15","2",,"115","134",,53,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000867084&partnerID=40&md5=b0f507513a0329d95c4be93c7d6ef57a",Article,Scopus,2-s2.0-0000867084
"Rhodes, M.G., Castel, A.D.","Metacognitive illusions for auditory information: Effects on monitoring and control",2009,"Psychonomic Bulletin and Review","16","3",,"550","554",,51,10.3758/PBR.16.3.550,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650567278&doi=10.3758%2fPBR.16.3.550&partnerID=40&md5=158189dc55549964c59ba8227e6506c9",Article,Scopus,2-s2.0-67650567278
"Finn, B., Metcalfe, J.","Judgments of learning are influenced by memory for past test",2008,"Journal of Memory and Language","58","1",,"19","34",,51,10.1016/j.jml.2007.03.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36549036130&doi=10.1016%2fj.jml.2007.03.006&partnerID=40&md5=ee24d3e4dd5c2905d8a1aad16d4ca639",Article,Scopus,2-s2.0-36549036130
"Kelemen, W.L., Weaver III, C.A.","Enhanced metamemory at delays: Why do judgments of learning improve over time?",1997,"Journal of Experimental Psychology: Learning Memory and Cognition","23","6",,"1394","1409",,51,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031266747&partnerID=40&md5=a473f908c1929540fa6df00d7b4f84bb",Article,Scopus,2-s2.0-0031266747
"Koriat, A., Bjork, R.A.","Illusions of competence during study can be remedied by manipulations that enhance learners' sensitivity to retrieval conditions at test",2006,"Memory and Cognition","34","5",,"959","972",,50,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745062484&partnerID=40&md5=7f3abbd81ebf1e36b96efbf351fd004e",Article,Scopus,2-s2.0-33745062484
"Castel, A.D., McCabe, D.P., Roediger III, H.L.","Illusions of competence and overestimation of associative memory for identical items: Evidence from judgments of learning",2007,"Psychonomic Bulletin and Review","14","1",,"107","111",,48,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447297574&partnerID=40&md5=3c03ccfd2b906f66a6870eece58b11f7",Article,Scopus,2-s2.0-34447297574
"Moulin, C.J.A., Perfect, T.J., Jones, R.W.","Evidence for intact memory monitoring in Alzheimer's disease: Metamemory sensitivity at encoding",2000,"Neuropsychologia","38","9",,"1242","1250",,47,10.1016/S0028-3932(00)00037-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034257196&doi=10.1016%2fS0028-3932%2800%2900037-3&partnerID=40&md5=64cf60d69685db3195db5ba4fc9b02fd",Article,Scopus,2-s2.0-0034257196
"Sommer, W., Heinz, A., Leuthold, H., Matt, J., Schweinberger, S.R.","Metamemory, distinctiveness, and event-related potentials in recognition memory for faces",1995,"Memory &amp; Cognition","23","1",,"1","11",,47,10.3758/BF03210552,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028859270&doi=10.3758%2fBF03210552&partnerID=40&md5=a392d9f2a38763cf6a8c8459e992a39a",Article,Scopus,2-s2.0-0028859270
"Serra, M.J., Dunlosky, J.","Does retrieval fluency contribute to the underconfidence-with-practice effect?",2005,"Journal of Experimental Psychology: Learning Memory and Cognition","31","6",,"1258","1266",,46,10.1037/0278-7393.31.6.1258,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-30544444180&doi=10.1037%2f0278-7393.31.6.1258&partnerID=40&md5=3f242b1105b021133cbf9ab2d70e9e09",Article,Scopus,2-s2.0-30544444180
"Modirrousta, M., Fellows, L.K.","Medial prefrontal cortex plays a critical and selective role in 'feeling of knowing' meta-memory judgments",2008,"Neuropsychologia","46","12",,"2958","2965",,45,10.1016/j.neuropsychologia.2008.06.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-48049090678&doi=10.1016%2fj.neuropsychologia.2008.06.011&partnerID=40&md5=dcbdb310b3fd49d4c6f580aa92533f9c",Article,Scopus,2-s2.0-48049090678
"Stine-Morrow, E.A.L., Shake, M.C., Miles, J.R., Noh, S.R.","Adult age differences in the effects of goals on self-regulated sentence processing",2006,"Psychology and Aging","21","4",,"790","803",,45,10.1037/0882-7974.21.4.790,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846015467&doi=10.1037%2f0882-7974.21.4.790&partnerID=40&md5=13d997dc41283262e6247bc9db1d0c6e",Article,Scopus,2-s2.0-33846015467
"Dunlosky, J., Hertzog, C.","Older and younger adults use a functionally identical algorithm to select items for restudy during multitrial learning",1997,"Journals of Gerontology - Series B Psychological Sciences and Social Sciences","52","4",,"","",,45,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030743486&partnerID=40&md5=761836d55a0735df874255b5d117ec41",Article,Scopus,2-s2.0-0030743486
"Yue, C.L., Castel, A.D., Bjork, R.A.","When disfluency is-and is not-a desirable difficulty: The influence of typeface clarity on metacognitive judgments and memory",2013,"Memory and Cognition","41","2",,"229","241",,41,10.3758/s13421-012-0255-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873250385&doi=10.3758%2fs13421-012-0255-8&partnerID=40&md5=3dff3a192d1755ed6f57ec851c1c9243",Article,Scopus,2-s2.0-84873250385
"Benjamin, A.S., Bird, R.D.","Metacognitive control of the spacing of study repetitions",2006,"Journal of Memory and Language","55","1",,"126","137",,41,10.1016/j.jml.2006.02.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646777451&doi=10.1016%2fj.jml.2006.02.003&partnerID=40&md5=bcc5b0eca5859b451551cdd08d4f5349",Article,Scopus,2-s2.0-33646777451
"Hanten, G., Dennis, M., Zhang, L., Barnes, M., Roberson, G., Archibald, J., Song, J., Levin, H.S.","Childhood Head Injury and Metacognitive Processes in Language and Memory",2004,"Developmental Neuropsychology","25","1-2",,"85","106",,41,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542380990&partnerID=40&md5=2ddd79ef32d8641c9f3e349004481b93",Article,Scopus,2-s2.0-1542380990
"Castel, A.D.","Metacognition and learning about primacy and recency effects in free recall: The utilization of intrinsic and extrinsic cues when making judgments of learning",2008,"Memory and Cognition","36","2",,"429","437",,40,10.3758/MC.36.2.429,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-44649180089&doi=10.3758%2fMC.36.2.429&partnerID=40&md5=d7e62c06764231d398a2d71dc3de5373",Article,Scopus,2-s2.0-44649180089
"Akhtar, S., Moulin, C.J.A., Bowie, P.C.W.","Are people with mild cognitive impairment aware of the benefits of errorless learning?",2006,"Neuropsychological Rehabilitation","16","3",,"329","346",,40,10.1080/09602010500176674,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646478121&doi=10.1080%2f09602010500176674&partnerID=40&md5=99e0f617c4e05076036976669454a409",Article,Scopus,2-s2.0-33646478121
"Son, L.K., Metcalfe, J.","Judgments of learning: Evidence for a two-stage process",2005,"Memory and Cognition","33","6",,"1116","1129",,39,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33244497124&partnerID=40&md5=c2a0f2dd805d109b8057377f019531d1",Article,Scopus,2-s2.0-33244497124
"Thiede, K.W., Dunlosky, J.","Delaying Students' Metacognitive Monitoring Improves Their Accuracy in Predicting Their Recognition Performance",1994,"Journal of Educational Psychology","86","2",,"290","302",,39,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27644550307&partnerID=40&md5=5f2310da6acb8a55a9323250086b94c7",Article,Scopus,2-s2.0-27644550307
"Scheck, P., Nelson, T.O.","Lack of pervasiveness of the underconfidence-with-practice effect: Boundary conditions and an explanation via anchoring",2005,"Journal of Experimental Psychology: General","134","1",,"124","128",,38,10.1037/0096-3445.134.1.124,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-13844254431&doi=10.1037%2f0096-3445.134.1.124&partnerID=40&md5=276cdc8554e2a37d3da69a53e6389c2e",Review,Scopus,2-s2.0-13844254431
"Nelson, T.O., Dunlosky, J.","How Shall We Explain the Delayed-Judgment-Of-Learning Effect?",1992,"Psychological Science","3","5",,"317","318",,38,10.1111/j.1467-9280.1992.tb00681.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965533495&doi=10.1111%2fj.1467-9280.1992.tb00681.x&partnerID=40&md5=8d6f68d44488ca835aacec1f0e526d08",Article,Scopus,2-s2.0-84965533495
"Azevedo, R., Greene, J.A., Moos, D.C.","The effect of a human agent's external regulation upon college students' hypermedia learning",2007,"Metacognition and Learning","2","2-3",,"67","87",,37,10.1007/s11409-007-9014-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36849021503&doi=10.1007%2fs11409-007-9014-9&partnerID=40&md5=02d3cfbd7325f7c95db4bef028260225",Article,Scopus,2-s2.0-36849021503
"Roebers, C.M., von der Linden, N., Schneider, W., Howie, P.","Children's metamemorial judgments in an event recall task",2007,"Journal of Experimental Child Psychology","97","2",,"117","137",,37,10.1016/j.jecp.2006.12.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247871479&doi=10.1016%2fj.jecp.2006.12.006&partnerID=40&md5=bfbf11a2147964201ff1297fd21cabf3",Article,Scopus,2-s2.0-34247871479
"Vidal-Abarca, E., Mañá, A., Gil, L.","Individual Differences for Self-Regulating Task-Oriented Reading Activities",2010,"Journal of Educational Psychology","102","4",,"817","826",,36,10.1037/a0020062,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649696315&doi=10.1037%2fa0020062&partnerID=40&md5=49c6ba21b54a81fe46aca4ce80db9cee",Article,Scopus,2-s2.0-78649696315
"Dunlosky, J., Serra, M.J., Matvey, G., Rawson, K.A.","Second-order judgments about judgments of learning",2005,"Journal of General Psychology","132","4",,"335","346",,36,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27644556959&partnerID=40&md5=0d94514a6be1a0ac99c5b3c0946f728b",Review,Scopus,2-s2.0-27644556959
"Souchay, C., Isingrini, M., Clarys, D., Taconnat, L., Eustache, F.","Executive Functioning and Judgment-of-Learning versus Feeling-of-Knowing in Older Adults",2004,"Experimental Aging Research","30","1",,"47","62",,36,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346503084&partnerID=40&md5=6243825045671473db8b97ddfc70778a",Article,Scopus,2-s2.0-0346503084
"Maki, R.H.","Predicting performance on text: Delayed versus immediate predictions and tests",1998,"Memory and Cognition","26","5",,"959","964",,36,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031785010&partnerID=40&md5=f0864a62ee5e1290b3958815626b158a",Article,Scopus,2-s2.0-0031785010
"Carroll, M., Nelson, T.O., Kirwan, A.","Tradeoff of semantic relatedness and degree of overlearning: Differential effects on metamemory and on long-term retention",1997,"Acta Psychologica","95","3",,"239","253",,36,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031112235&partnerID=40&md5=266eadc772012e783a38476d04d83ec4",Article,Scopus,2-s2.0-0031112235
"Nelson, T.O.","Judgments of Learning and the Allocation of Study Time",1993,"Journal of Experimental Psychology: General","122","2",,"269","273",,35,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027616836&partnerID=40&md5=4f2bf352d0ca2e8dda3db21e2b3d2a70",Article,Scopus,2-s2.0-0027616836
"Mueller, M.L., Dunlosky, J., Tauber, S.K., Rhodes, M.G.","The font-size effect on judgments of learning: Does it exemplify fluency effects or reflect people's beliefs about memory?",2014,"Journal of Memory and Language","70","1",,"1","12",,34,10.1016/j.jml.2013.09.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885769379&doi=10.1016%2fj.jml.2013.09.007&partnerID=40&md5=e1e342714d65dec71e9a3c5f9e14271e",Article,Scopus,2-s2.0-84885769379
